what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316901897730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316901898171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902056511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316902076955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902078945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902079365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316902079705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902082108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902176327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902179027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902179498
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1316902181999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316902185671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902187284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902212871
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316902214764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902228774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902236617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902243934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902247149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902255954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902256819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902257105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902261536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316902280777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902282715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902298578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316902305926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316902307271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902308535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316902326118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902327586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902327857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902328163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902328421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902328717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902328931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316902329421
